Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_4_28x3	P72	LOW-1	151	10	9.79553065	17.19753021	3.70262371
B4est_1_Bloc_4_28x3	P72	N-23	152	10	10.82053413	11.67273979	2.26751675
B4est_1_Bloc_4_28x3	P72	ERS-10	153	10	11.05620964	1.09736557	1.51321881
B4est_1_Bloc_4_28x3	P72	LRD-03	154	10	10.40372867	15.65734464	2.61979251
B4est_1_Bloc_4_28x3	P72	BDX-02	155	10	9.73472247	8.12116989	2.26646061
B4est_1_Bloc_4_28x3	P72	VDL-32	156	10	9.88102629	8.77216054	3.70262371
B4est_1_Bloc_4_28x3	P72	NOH-06	157	10	NA	13.69981103	NA
B4est_1_Bloc_4_28x3	P72	ALL-174	158	10	8.19706113	22.69981103	2.87897718
B4est_1_Bloc_4_28x3	P72	NOH-10	159	10	9.18408726	24.18258865	3.93709799
B4est_1_Bloc_4_28x3	P72	CTR-09	160	10	8.58561775	29.19407024	3.23168412
B4est_1_Bloc_4_28x3	P72	NOH-25	161	10	8.62453935	12.12864066	3.17356331
B4est_1_Bloc_4_28x3	P72	N-36	162	10	9.42760033	25.05228034	3.93709799
B4est_1_Bloc_4_28x3	P72	SN-12	163	10	8.58561775	13.81462693	3.05533065
B4est_1_Bloc_4_28x3	P72	NL-1210	150	11	9.09859162	14.81462693	3.23168412
B4est_1_Bloc_4_28x3	P72	AST-008	151	11	7.42760033	53.51209479	4.58439105
B4est_1_Bloc_4_28x3	P72	ALL-019	152	11	10.03904371	13.15561466	3.05533065
B4est_1_Bloc_4_28x3	P72	BDX-08	153	11	8.18408726	25.70728181	3.58439105
B4est_1_Bloc_4_28x3	P72	N-63	156	11	9.19706113	15.22450419	4.05533065
B4est_1_Bloc_4_28x3	P72	DRA-38	157	11	9.710035	11.46962839	3.52627025
B4est_1_Bloc_4_28x3	P72	SN-25	160	11	8.53904371	24.87950566	3.70262371
B4est_1_Bloc_4_28x3	P72	1-J07	161	11	8.68408726	8.45067602	3.23168412
B4est_1_Bloc_4_28x3	P72	STR-20	162	11	8.46652194	6.01382477	3.52627024
B4est_1_Bloc_4_28x3	P72	SN-11	163	11	9.18408726	12.49660239	3.23168412
B4est_1_Bloc_4_28x3	P72	KUH-34	150	12	7.74363517	30.94894604	3.93709799
B4est_1_Bloc_4_28x3	P72	STR-21	151	12	11.91235868	12.7342558	2.58140798
B4est_1_Bloc_4_28x3	P72	KUH-52	152	12	10.05201758	24.91796124	3.52627024
B4est_1_Bloc_4_28x3	P72	N-50	153	12	10.210035	15.37777568	2.34991678
B4est_1_Bloc_4_28x3	P72	N-8	154	12	9.24363516	7.33184931	2.93709799
B4est_1_Bloc_4_28x3	P72	N-43	155	12	8.91462645	12.41623125	2.40803758
B4est_1_Bloc_4_28x3	P72	1-J19	156	12	8.7695829	17.26295977	3.05533065
B4est_1_Bloc_4_28x3	P72	N-29	157	12	8.17111339	20.59246592	3.76074452
